curve,rank,period,regulator,tamagawa,torsion,l_value,bsd_prediction,analytic_sha
77.c2,0,2.6516148584911803,1.0,2,2,1.3260715007781982,1.3258074292455901,1.0001991778947554
78.a1,0,1.4504359261765927,1.0,8,4,0.7258833050727844,0.7252179630882963,1.0009174372648668
78.a2,0,0.7252179630882964,1.0,4,2,0.7258833050727844,0.7252179630882964,1.0009174372648668
78.a3,0,1.4504359261765927,1.0,8,4,0.7258833050727844,0.7252179630882963,1.0009174372648668
78.a4,0,1.4504359261765927,1.0,2,2,0.7258833050727844,0.7252179630882963,1.0009174372648668
80.a1,0,4.037811639956846,1.0,4,4,1.0098057985305786,1.0094529099892116,1.0003495839557002
80.a2,0,4.037811639956846,1.0,4,4,1.0098057985305786,1.0094529099892116,1.0003495839557002
80.a3,0,4.037811639956846,1.0,1,2,1.0098057985305786,1.0094529099892116,1.0003495839557002
80.a4,0,2.018905819978423,1.0,8,4,1.0098057985305786,1.0094529099892116,1.0003495839557002
80.b1,0,4.548330398082162,1.0,1,2,1.1370606422424316,1.1370825995205405,0.9999806898125799
80.b2,0,2.274165199041081,1.0,2,2,1.1370606422424316,1.1370825995205405,0.9999806898125799
80.b3,0,4.548330398082162,1.0,1,2,1.1370606422424316,1.1370825995205405,0.9999806898125799
80.b4,0,2.274165199041081,1.0,2,2,1.1370606422424316,1.1370825995205405,0.9999806898125799
84.a1,0,1.9449239505342268,1.0,2,2,0.9724164605140686,0.9724619752671134,0.999953196367362
84.a2,0,1.9449239505342268,1.0,2,2,0.9724164605140686,0.9724619752671134,0.999953196367362
84.b1,0,0.7301057030552001,1.0,6,2,1.0956971645355225,1.0951585545828002,1.0004918100219082
84.b2,0,0.7301057030552001,1.0,6,2,1.0956971645355225,1.0951585545828002,1.0004918100219082
84.b3,0,2.1903171091656004,1.0,18,6,1.0956971645355225,1.0951585545828002,1.0004918100219082
84.b4,0,2.1903171091656004,1.0,18,6,1.0956971645355225,1.0951585545828002,1.0004918100219082
85.a1,0,2.7953844365437517,1.0,2,2,1.397571086883545,1.3976922182718758,0.9999133347193699
85.a2,0,1.3976922182718758,1.0,4,2,1.397571086883545,1.3976922182718758,0.9999133347193699
89.b1,0,5.689219316908426,1.0,1,2,1.4228354692459106,1.4223048292271065,1.0003730845933305
89.b2,0,2.8446096584542135,1.0,2,2,1.4228354692459106,1.4223048292271068,1.0003730845933303
90.a1,0,0.8199784570579802,1.0,4,2,0.819377064704895,0.8199784570579802,0.9992665754229166
90.a2,0,0.8199784570579802,1.0,4,2,0.819377064704895,0.8199784570579802,0.9992665754229166
90.a3,0,2.459935371173941,1.0,12,6,0.819377064704895,0.8199784570579803,0.9992665754229165
90.a4,0,2.459935371173941,1.0,12,6,0.819377064704895,0.8199784570579803,0.9992665754229165
90.b1,0,1.3236980861804493,1.0,4,2,1.3245207071304321,1.3236980861804493,1.000621456628646
90.b2,0,3.9710942585413487,1.0,12,6,1.3245207071304321,1.3236980861804495,1.0006214566286458
90.b3,0,3.9710942585413487,1.0,12,6,1.3245207071304321,1.3236980861804495,1.0006214566286458
90.b4,0,1.3236980861804493,1.0,4,2,1.3245207071304321,1.3236980861804493,1.000621456628646
90.c1,0,1.3375959945886482,1.0,36,6,1.3376007080078125,1.3375959945886482,1.0000035237988028
90.c2,0,0.6687979972943243,1.0,72,6,1.3376007080078125,1.3375959945886486,1.0000035237988025
90.c3,0,1.3375959945886486,1.0,144,12,1.3376007080078125,1.3375959945886486,1.0000035237988025
90.c4,0,0.6687979972943243,1.0,8,2,1.3376007080078125,1.3375959945886486,1.0000035237988025
90.c5,0,1.3375959945886486,1.0,4,2,1.3376007080078125,1.3375959945886486,1.0000035237988025
90.c6,0,1.3375959945886486,1.0,16,4,1.3376007080078125,1.3375959945886486,1.0000035237988025
90.c7,0,1.3375959945886486,1.0,144,12,1.3376007080078125,1.3375959945886486,1.0000035237988025
90.c8,0,1.3375959945886486,1.0,16,4,1.3376007080078125,1.3375959945886486,1.0000035237988025
92.b1,0,1.13679747811374,1.0,1,1,1.1368377208709717,1.13679747811374,1.0000354001112832
92.b2,0,3.4103924343412206,1.0,3,3,1.1368377208709717,1.1367974781137402,1.000035400111283
94.a1,0,2.713469013182039,1.0,2,2,1.356581449508667,1.3567345065910195,0.99988718715297
94.a2,0,2.713469013182039,1.0,2,2,1.356581449508667,1.3567345065910195,0.99988718715297
